star_name,decimal_degrees,star_dist,st_spttype,st_lum
HIP 49593,35.244692,28.24,A7V,10.68
HIP 49669,11.967195,24.31,B7V,215.45
HD 87883,34.242406,18.2,K0,0.35
HIP 49908,49.455464,4.87,K7.0V,0.11
HIP 50564,19.471436,21.37,F6IV,4.75
HIP 50954,-74.031545,16.22,F2/3IV/V,5.62
HIP 51459,55.980618,12.78,F8V,1.68
HIP 51986 A,-48.225616,26.84,A3MF0-F2,17.25
HIP 53229,34.215566,29.09,K0III-IV,30.73
HIP 53253,-58.853265,29.13,K1III,28.48
47 UMa,40.430123,14.06,G0V,1.71
HIP 53910,56.382345,24.45,A1V,74.99
HIP 54182,7.336123,28.99,F2III-IVvar,9.89
HIP 54872,20.524034,17.91,A4V,25.78
HIP 55642 A,10.529698,23.67,F2IVSB,12.08
HIP 55705,-17.684017,25.24,A9V,12.3
HD 99492,3.005864,17.96,K2/4,0.34
HIP 56452,-32.833342,9.56,K0V,0.62
HIP 56997,34.20256,9.61,G8Vvar,0.65
HD 102365,-40.501335,9.22,G3/5V,0.86
HIP 57632,14.572337,11,A3Vvar,14.58
HIP 57757,1.765377,10.93,F9V,3.79
HIP 58001,53.694733,25.5,A0VSB,74.95
HIP 58576,-10.444839,12.76,G8IV,0.93
HIP 59072,-64.613639,19.76,F0IV,7.12
HIP 59199,-24.72878,14.94,F0IV/V,4.56
HD 106515 A,-7.257327,36.36,G5,1.23
HIP 59774,57.032598,24.69,A3Vvar,26.09
HIP 60729,-48.912998,26.61,G3/5V,2.02
HIP 60965,-16.515094,26.63,B9.5V,57.79
HIP 61084,-57.112569,27.15,M4III,878.37
HIP 61174,-16.195866,18.28,F2V,5.24
HIP 61317,41.356768,8.44,G0V,1.27
HIP 61941 A,-1.449522,11.68,F1V,5.28
HIP 62145,51.759749,14.88,K3V,0.38
HIP 62956,55.959843,25.31,A0p,134.69
HIP 63613,-71.548799,27.87,K2III,47.11
HIP 64241,17.529116,17.83,F5V,5.06
HIP 64394,27.876038,9.13,G0V,1.48
HD 114613,-37.803136,20.67,G3V,4.48
HIP 64583,-59.102859,18.2,F5V,3.13
61 Vir,-18.308611,8.56,G5V,0.87
HIP 65109,-36.712081,18.02,A2V,26.99
HIP 65352,2.722842,15.45,G8/K0V,0.36
HIP 65378 A,54.925415,26.31,A2V,83.79
HIP 65477,54.987999,25.06,A5VSB,13.47
HIP 65530,63.260739,21.17,G6V,1.06
HIP 66249,-0.595938,22.71,A0/1IV,19.74
HIP 67153,-33.043366,19.4,F3V,6.36
tau Boo,17.456774,15.62,F7V,3.35
HIP 67927,18.398587,11.4,G0IV,9.6
HIP 68933,-36.368696,18.03,K0IIIB,58.34
HIP 69673 A,19.18727,11.26,K2IIIp,235.32
HIP 69701,-5.999526,22.24,F6III,10.09
HIP 70497,51.851714,14.53,F7V,4.42
HIP 71075,38.307883,26.61,A7IIIvar,35.47
HIP 71284,29.744807,15.83,F3Vwvar,3.42
HD 128311,9.747125,16.5,K0,0.32
alf Cen B,-60.839471,1.34,K0V,0.52
HIP 71683,-60.835147,1.34,G2.0V,1.61
HIP 71908,-64.97457,16.57,APSREU(CR),12.53
HIP 71957,-5.657429,18.27,F2V,8.02
