Date,Perc_Chg,Group
4/1/15,0.0036,Dow
5/1/15,0.0095,Dow
6/1/15,-0.0217,Dow
7/1/15,0.004,Dow
8/1/15,-0.0657,Dow
9/1/15,-0.0147,Dow
10/1/15,0.0847,Dow
11/1/15,0.0032,Dow
12/1/15,-0.0166,Dow
1/1/16,-0.055,Dow
2/1/16,0.003,Dow
3/1/16,0.0708,Dow
4/1/16,0.005,Dow
5/1/16,0.0008,Dow
6/1/16,0.008,Dow
7/1/16,0.028,Dow
8/1/16,-0.0017,Dow
9/1/16,-0.005,Dow
10/1/16,-0.0091,Dow
11/1/16,0.0541,Dow
12/1/16,0.0334,Dow
1/1/17,0.0051,Dow
2/1/17,0.0477,Dow
3/1/17,-0.0072,Dow
4/1/17,0.0134,Dow
5/1/17,0.0033,Dow
6/1/17,0.0162,Dow
7/1/17,0.0254,Dow
8/1/17,0.0026,Dow
9/1/17,0.0208,Dow
10/1/17,0.0434,Dow
11/1/17,0.0383,Dow
12/1/17,0.0184,Dow
1/1/18,0.0579,Dow
2/1/18,-0.0428,Dow
3/1/18,-0.037,Dow
4/1/18,0.0025,Dow
5/1/18,0.0105,Dow
6/1/18,-0.0059,Dow
7/1/18,0.0471,Dow
8/1/18,0.0216,Dow
9/1/18,0.019,Dow
10/1/18,-0.0507,Dow
11/1/18,0.0168,Dow
12/1/18,-0.0866,Dow
2/1/00,-0.020108083,SPX
3/1/00,0.096719828,SPX
4/1/00,-0.030795756,SPX
5/1/00,-0.021915051,SPX
6/1/00,0.02393355,SPX
7/1/00,-0.016341276,SPX
8/1/00,0.060699105,SPX
9/1/00,-0.053482975,SPX
10/1/00,-0.004949486,SPX
11/1/00,-0.08006861,SPX
12/1/00,0.004053446,SPX
1/1/01,0.034636577,SPX
2/1/01,-0.092290736,SPX
3/1/01,-0.064204711,SPX
4/1/01,0.076814362,SPX
5/1/01,0.005090187,SPX
6/1/01,-0.025035389,SPX
7/1/01,-0.01074015,SPX
8/1/01,-0.064108407,SPX
9/1/01,-0.081723406,SPX
10/1/01,0.018099111,SPX
11/1/01,0.075175904,SPX
12/1/01,0.007573834,SPX
1/1/02,-0.015573833,SPX
2/1/02,-0.020766211,SPX
3/1/02,0.036738894,SPX
4/1/02,-0.061417626,SPX
5/1/02,-0.009081481,SPX
6/1/02,-0.072455354,SPX
7/1/02,-0.079004275,SPX
8/1/02,0.004881433,SPX
9/1/02,-0.110024318,SPX
10/1/02,0.086448801,SPX
11/1/02,0.057069621,SPX
12/1/02,-0.060332573,SPX
1/1/03,-0.027414693,SPX
2/1/03,-0.017003609,SPX
3/1/03,0.008357569,SPX
4/1/03,0.081044107,SPX
5/1/03,0.05089871,SPX
6/1/03,0.011322215,SPX
7/1/03,0.016223702,SPX
8/1/03,0.017873203,SPX
9/1/03,-0.011944365,SPX
10/1/03,0.054961486,SPX
11/1/03,0.007128504,SPX
12/1/03,0.050765541,SPX
1/1/04,0.017276387,SPX
2/1/04,0.012208973,SPX
3/1/04,-0.016358919,SPX
4/1/04,-0.016790752,SPX
5/1/04,0.01208345,SPX
6/1/04,0.017988999,SPX
7/1/04,-0.034290519,SPX
8/1/04,0.00228735,SPX
9/1/04,0.009363876,SPX
10/1/04,0.014014244,SPX
11/1/04,0.038594936,SPX
12/1/04,0.032458213,SPX
1/1/05,-0.025290467,SPX
2/1/05,0.018903346,SPX
3/1/05,-0.019117656,SPX
4/1/05,-0.020108582,SPX
5/1/05,0.029952046,SPX
6/1/05,-0.000142714,SPX
7/1/05,0.035968287,SPX
8/1/05,-0.011222105,SPX
9/1/05,0.006949025,SPX
10/1/05,-0.01774078,SPX
11/1/05,0.035186096,SPX
12/1/05,-0.000952349,SPX
1/1/06,0.025466771,SPX
2/1/06,0.000453158,SPX
3/1/06,0.01109581,SPX
4/1/06,0.012155653,SPX
5/1/06,-0.030916916,SPX
6/1/06,8.66E-05,SPX
7/1/06,0.005085879,SPX
8/1/06,0.021274193,SPX
9/1/06,0.024566299,SPX
10/1/06,0.031508003,SPX
11/1/06,0.016466657,SPX
12/1/06,0.012615783,SPX
1/1/07,0.014059043,SPX
2/1/07,-0.021846176,SPX
3/1/07,0.009979983,SPX
4/1/07,0.043290691,SPX
5/1/07,0.032549229,SPX
6/1/07,-0.017816322,SPX
7/1/07,-0.031981878,SPX
8/1/07,0.012863572,SPX
9/1/07,0.035794008,SPX
10/1/07,0.014822338,SPX
11/1/07,-0.044043417,SPX
12/1/07,-0.008628509,SPX
1/1/08,-0.061163432,SPX
2/1/08,-0.034761193,SPX
3/1/08,-0.005959624,SPX
4/1/08,0.047546698,SPX
5/1/08,0.010674182,SPX
6/1/08,-0.085962385,SPX
7/1/08,-0.009859371,SPX
8/1/08,0.012190465,SPX
9/1/08,-0.090791434,SPX
10/1/08,-0.169424524,SPX
11/1/08,-0.074849043,SPX
12/1/08,0.007821577,SPX
1/1/09,-0.085657343,SPX
2/1/09,-0.109931198,SPX
3/1/09,0.085404462,SPX
4/1/09,0.09392508,SPX
5/1/09,0.053081446,SPX
6/1/09,0.000195827,SPX
7/1/09,0.074141727,SPX
8/1/09,0.033560189,SPX
9/1/09,0.035723346,SPX
10/1/09,-0.019762001,SPX
11/1/09,0.057364062,SPX
12/1/09,0.017770571,SPX
1/1/10,-0.036974246,SPX
2/1/10,0.028513689,SPX
3/1/10,0.058796426,SPX
4/1/10,0.01475923,SPX
5/1/10,-0.081975842,SPX
6/1/10,-0.053882442,SPX
7/1/10,0.06877785,SPX
8/1/10,-0.047449184,SPX
9/1/10,0.087551103,SPX
10/1/10,0.036855994,SPX
11/1/10,-0.00229025,SPX
12/1/10,0.06530004,SPX
1/1/11,0.022645574,SPX
2/1/11,0.031956564,SPX
3/1/11,-0.001047313,SPX
4/1/11,0.02849538,SPX
5/1/11,-0.013500953,SPX
6/1/11,-0.018257461,SPX
7/1/11,-0.021474426,SPX
8/1/11,-0.056791107,SPX
9/1/11,-0.071761988,SPX
10/1/11,0.107723039,SPX
11/1/11,-0.005058715,SPX
12/1/11,0.008532764,SPX
1/1/12,0.043583062,SPX
2/1/12,0.040589464,SPX
3/1/12,0.031332315,SPX
4/1/12,-0.007497453,SPX
5/1/12,-0.062650726,SPX
6/1/12,0.039554982,SPX
7/1/12,0.012597574,SPX
8/1/12,0.01976337,SPX
9/1/12,0.024236154,SPX
10/1/12,-0.01978941,SPX
11/1/12,0.002846717,SPX
12/1/12,0.00706823,SPX
1/1/13,0.050428097,SPX
2/1/13,0.011060649,SPX
3/1/13,0.035987724,SPX
4/1/13,0.018085768,SPX
5/1/13,0.020762812,SPX
6/1/13,-0.014999302,SPX
7/1/13,0.04946208,SPX
8/1/13,-0.031298019,SPX
9/1/13,0.029749523,SPX
10/1/13,0.044595753,SPX
11/1/13,0.028049472,SPX
12/1/13,0.023562792,SPX
1/1/14,-0.035582906,SPX
2/1/14,0.04311703,SPX
3/1/14,0.006932166,SPX
4/1/14,0.006200789,SPX
5/1/14,0.02103028,SPX
6/1/14,0.019058332,SPX
7/1/14,-0.015079831,SPX
8/1/14,0.037655295,SPX
9/1/14,-0.015513837,SPX
10/1/14,0.023201461,SPX
11/1/14,0.024533589,SPX
12/1/14,-0.004188588,SPX
1/1/15,-0.031040806,SPX
2/1/15,0.054892511,SPX
3/1/15,-0.017396107,SPX
4/1/15,0.00852082,SPX
5/1/15,0.010491382,SPX
6/1/15,-0.021011672,SPX
7/1/15,0.01974203,SPX
8/1/15,-0.062580818,SPX
9/1/15,-0.026442832,SPX
10/1/15,0.082983118,SPX
11/1/15,0.000504869,SPX
